Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,project_name,target,target_std
GammaRegressor,-0.39443614930216486,0.00974824179991185,23.7251798474359,0.039327383041381836,real-state-ny,DAYS ON MARKET,39.619
DummyRegressor,-0.4082847291225553,-8.625691311903161e-05,23.84269986253012,0.02967977523803711,real-state-ny,DAYS ON MARKET,39.619
LassoCV,-0.4082847291225553,-8.625691311903161e-05,23.84269986253012,0.15491652488708496,real-state-ny,DAYS ON MARKET,39.619
AdaBoostRegressor,-0.4743629731781176,-0.04701138674967775,24.395650596507476,0.06352901458740234,real-state-ny,DAYS ON MARKET,39.619
PoissonRegressor,-0.4888615150017235,-0.05730745268238335,24.515307716945564,0.04544997215270996,real-state-ny,DAYS ON MARKET,39.619
PassiveAggressiveRegressor,-0.49145812188715543,-0.059151419890878465,24.53667601941019,0.03054666519165039,real-state-ny,DAYS ON MARKET,39.619
TweedieRegressor,-0.49883904478866703,-0.06439294484992297,24.59731459958368,0.03703808784484863,real-state-ny,DAYS ON MARKET,39.619
SVR,-0.538081670524144,-0.09226089645917468,24.91723769673089,0.02924513816833496,real-state-ny,DAYS ON MARKET,39.619
NuSVR,-0.5412146802959321,-0.09448578745653147,24.942602486141027,0.05944108963012695,real-state-ny,DAYS ON MARKET,39.619
HuberRegressor,-0.5417335214973977,-0.09485423990394914,24.946800525856286,0.1130516529083252,real-state-ny,DAYS ON MARKET,39.619
QuantileRegressor,-0.5417335231468068,-0.09485424107526863,24.946800539200837,1.065899133682251,real-state-ny,DAYS ON MARKET,39.619
RANSACRegressor,-0.5417335231472675,-0.0948542410755957,24.946800539204563,0.06681656837463379,real-state-ny,DAYS ON MARKET,39.619
LinearSVR,-0.5417362008372599,-0.09485614262356146,24.946822203055074,0.032150983810424805,real-state-ny,DAYS ON MARKET,39.619
ElasticNet,-0.5586328396157216,-0.10685520494449796,25.083151889342023,0.030671358108520508,real-state-ny,DAYS ON MARKET,39.619
ElasticNetCV,-0.571218716650084,-0.11579300167904516,25.184220824728676,0.13315391540527344,real-state-ny,DAYS ON MARKET,39.619
MLPRegressor,-0.6601189733772106,-0.1789250680504828,25.886885534996765,0.3637080192565918,real-state-ny,DAYS ON MARKET,39.619
RandomForestRegressor,-0.6965853104079458,-0.2048214523186862,26.169658057703828,0.385312557220459,real-state-ny,DAYS ON MARKET,39.619
